"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"University Hospitals Of Morecambe Bay NHS Trust",93.6,1652,518,"2010.12.19"
"Warrington And Halton Hospitals NHS Foundation Trust",93.2,1547,539,"2010.12.19"
"Wirral University Teaching Hospital NHS Foundation Trust",95.1,1730,555,"2010.12.19"
"Wrightington, Wigan And Leigh NHS Foundation Trust",97.9,1655,549,"2010.12.19"
"Airedale NHS Trust",97.9,1024,250,"2010.12.19"
"Barnsley Hospital NHS Foundation Trust",90.7,1410,338,"2010.12.19"
"Bradford Teaching Hospitals NHS Foundation Trust",92.9,2452,610,"2010.12.19"
"Calderdale And Huddersfield NHS Foundation Trust",94.5,2552,595,"2010.12.19"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",94.2,2485,554,"2010.12.19"
"Harrogate And District NHS Foundation Trust",98.2,790,185,"2010.12.19"
"Hull And East Yorkshire Hospitals NHS Trust",94.2,2133,685,"2010.12.19"
"Leeds Teaching Hospitals NHS Trust",92.6,3898,1481,"2010.12.19"
"Mid Yorkshire Hospitals NHS Trust",84.4,3736,947,"2010.12.19"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",94.7,2087,435,"2010.12.19"
"Scarborough And North East Yorkshire Healthcare NHS Trust",92.5,755,219,"2010.12.19"
"Sheffield Children'S NHS Foundation Trust",97.8,1046,141,"2010.12.19"
"Sheffield Teaching Hospitals NHS Foundation Trust",91.1,2084,406,"2010.12.19"
"The Rotherham NHS Foundation Trust",96.7,1449,357,"2010.12.19"
"York Hospitals NHS Foundation Trust",95.4,1338,318,"2010.12.19"
"Chesterfield Royal Hospital NHS Foundation Trust",97.8,1246,404,"2010.12.19"
"Derby Hospitals NHS Foundation Trust",84.4,2268,653,"2010.12.19"
"Kettering General Hospital NHS Foundation Trust",94,1216,366,"2010.12.19"
"Northampton General Hospital NHS Trust",90.5,1335,358,"2010.12.19"
"Nottingham University Hospitals NHS Trust",92.3,2990,792,"2010.12.19"
"Sherwood Forest Hospitals NHS Foundation Trust",92.9,1542,467,"2010.12.19"
"United Lincolnshire Hospitals NHS Trust",95.3,3126,766,"2010.12.19"
"University Hospitals Of Leicester NHS Trust",82.3,2891,1800,"2010.12.19"
"Birmingham Children'S Hospital NHS Foundation Trust",94.1,1027,310,"2010.12.19"
"Burton Hospitals NHS Foundation Trust",89.1,1223,402,"2010.12.19"
"George Eliot Hospital NHS Trust",87.3,1239,259,"2010.12.19"
"Heart Of England NHS Foundation Trust",84.4,4683,1421,"2010.12.19"
"Hereford Hospitals NHS Trust",93.5,849,238,"2010.12.19"
"Mid Staffordshire NHS Foundation Trust",77.3,1148,285,"2010.12.19"
"Sandwell And West Birmingham Hospitals NHS Trust",93.2,3481,778,"2010.12.19"
"Shrewsbury And Telford Hospital NHS Trust",91.1,1693,453,"2010.12.19"
"South Warwickshire NHS Foundation Trust",85,1014,302,"2010.12.19"
"The Dudley Group Of Hospitals NHS Foundation Trust",93.6,1870,515,"2010.12.19"
"The Royal Wolverhampton Hospitals NHS Trust",98.4,1856,318,"2010.12.19"
"University Hospital Of North Staffordshire NHS Trust",91.1,2163,742,"2010.12.19"
"University Hospitals Coventry And Warwickshire NHS Trust",91.3,2895,834,"2010.12.19"
"Walsall Hospitals NHS Trust",86.9,1486,305,"2010.12.19"
"Worcestershire Acute Hospitals NHS Trust",89.5,2120,622,"2010.12.19"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",98.1,1899,314,"2010.12.19"
"Bedford Hospital NHS Trust",96.1,1255,313,"2010.12.19"
"Cambridge University Hospitals NHS Foundation Trust",93.3,1727,588,"2010.12.19"
"Colchester Hospital University NHS Foundation Trust",93,1346,375,"2010.12.19"
"East And North Hertfordshire NHS Trust",90.8,2527,647,"2010.12.19"
"Hinchingbrooke Healthcare NHS Trust",99.4,642,142,"2010.12.19"
"Ipswich Hospital NHS Trust",96.5,1119,355,"2010.12.19"
"James Paget University Hospitals NHS Foundation Trust",97.2,1177,227,"2010.12.19"
"Luton And Dunstable Hospital NHS Foundation Trust",91.1,1201,399,"2010.12.19"
"Mid Essex Hospital Services NHS Trust",92.7,1127,369,"2010.12.19"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",98.5,1485,450,"2010.12.19"
"Peterborough And Stamford Hospitals NHS Foundation Trust",58.8,1355,448,"2010.12.19"
"Southend University Hospital NHS Foundation Trust",96.7,1579,392,"2010.12.19"
"The Princess Alexandra Hospital NHS Trust",92,1608,431,"2010.12.19"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",93.5,967,328,"2010.12.19"
"West Hertfordshire Hospitals NHS Trust",86.2,1531,349,"2010.12.19"
"West Suffolk Hospitals NHS Trust",98.1,891,276,"2010.12.19"
"Barking, Havering And Redbridge Hospitals NHS Trust",81.2,3334,987,"2010.12.19"
"Barnet And Chase Farm Hospitals NHS Trust",96.4,3099,638,"2010.12.19"
"Barts And The London NHS Trust",91.6,2616,507,"2010.12.19"
"Chelsea And Westminster Hospital NHS Foundation Trust",96.8,2581,363,"2010.12.19"
"Croydon Health Services NHS Trust",97.9,2291,492,"2010.12.19"
"Ealing Hospital NHS Trust",88.5,1641,391,"2010.12.19"
"Epsom And St Helier University Hospitals NHS Trust",89.8,2637,670,"2010.12.19"
"Guy'S And St Thomas' NHS Foundation Trust",89.4,2706,671,"2010.12.19"
"Homerton University Hospital NHS Foundation Trust",93.8,1589,346,"2010.12.19"
"Imperial College Healthcare NHS Trust",91.1,2589,886,"2010.12.19"
"King'S College Hospital NHS Foundation Trust",97,2475,476,"2010.12.19"
"Kingston Hospital NHS Trust",97.9,2094,346,"2010.12.19"
"Lewisham Healthcare NHS Trust",97,2212,388,"2010.12.19"
"Newham University Hospital NHS Trust",90.1,1476,456,"2010.12.19"
"North Middlesex University Hospital NHS Trust",94.3,2502,267,"2010.12.19"
"North West London Hospitals NHS Trust",85.7,3486,660,"2010.12.19"
"Royal Free Hampstead NHS Trust",96.1,1776,362,"2010.12.19"
"South London Healthcare NHS Trust",77.2,3236,783,"2010.12.19"
"St George'S Healthcare NHS Trust",89.7,2423,697,"2010.12.19"
"The Hillingdon Hospital NHS Trust",92.5,1678,478,"2010.12.19"
"The Whittington Hospital NHS Trust",95.8,1975,336,"2010.12.19"
"University College London Hospitals NHS Foundation Trust",98.5,2244,290,"2010.12.19"
"West Middlesex University Hospital NHS Trust",90.8,2248,358,"2010.12.19"
"Whipps Cross University Hospital NHS Trust",96.5,1984,621,"2010.12.19"
"Ashford And St Peter'S Hospitals NHS Trust",86.7,1763,471,"2010.12.19"
"Brighton And Sussex University Hospitals NHS Trust",93.3,2456,593,"2010.12.19"
"Dartford And Gravesham NHS Trust",80.4,1706,396,"2010.12.19"
"East Kent Hospitals University NHS Foundation Trust",94.1,2324,665,"2010.12.19"
"East Sussex Hospitals NHS Trust",96.4,1724,454,"2010.12.19"
"Frimley Park Hospital NHS Foundation Trust",95.9,1747,499,"2010.12.19"
"Maidstone And Tunbridge Wells NHS Trust",93.1,2175,715,"2010.12.19"
"Medway NHS Foundation Trust",90.7,1587,315,"2010.12.19"
"Royal Surrey County Hospital NHS Foundation Trust",90.1,1086,254,"2010.12.19"
"Surrey And Sussex Healthcare NHS Trust",57.1,1010,386,"2010.12.19"
"Western Sussex Hospitals NHS Trust",95.7,2204,700,"2010.12.19"
"Basingstoke And North Hampshire NHS Foundation Trust",96.2,781,191,"2010.12.19"
"Buckinghamshire Hospitals NHS Trust",95.2,1941,405,"2010.12.19"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",89.8,1778,466,"2010.12.19"
"Isle Of Wight NHS Primary Care Trust",93.7,623,127,"2010.12.19"
"Milton Keynes Hospital NHS Foundation Trust",87.1,1345,250,"2010.12.19"
"Oxford Radcliffe Hospitals NHS Trust",80.7,2003,517,"2010.12.19"
"Portsmouth Hospitals NHS Trust",86,1679,589,"2010.12.19"
"Royal Berkshire NHS Foundation Trust",91.9,1525,353,"2010.12.19"
"Southampton University Hospitals NHS Trust",90.4,1638,370,"2010.12.19"
"Winchester And Eastleigh Healthcare NHS Trust",92.2,870,212,"2010.12.19"
"Dorset County Hospital NHS Foundation Trust",95.5,597,189,"2010.12.19"
"Gloucestershire Hospitals NHS Foundation Trust",85.5,2070,686,"2010.12.19"
"Great Western Hospitals NHS Foundation Trust",92.2,1313,360,"2010.12.19"
"North Bristol NHS Trust",94.5,1174,286,"2010.12.19"
"Northern Devon Healthcare NHS Trust",97,667,221,"2010.12.19"
"Plymouth Hospitals NHS Trust",91.6,1581,447,"2010.12.19"
"Poole Hospital NHS Foundation Trust",97.5,1104,373,"2010.12.19"
"Royal Cornwall Hospitals NHS Trust",93.9,1175,409,"2010.12.19"
"Royal Devon And Exeter NHS Foundation Trust",93.3,1856,492,"2010.12.19"
"Royal United Hospital Bath NHS Trust",95.6,1204,496,"2010.12.19"
"Salisbury NHS Foundation Trust",98.4,692,231,"2010.12.19"
"South Devon Healthcare NHS Foundation Trust",96.9,1307,474,"2010.12.19"
"Taunton And Somerset NHS Foundation Trust",91.4,947,260,"2010.12.19"
"The Royal Bournemouth & Christchurch Hospitals NHS Foundation Trust",99.5,876,354,"2010.12.19"
"University Hospitals Of Bristol NHS Foundation Trust",87.2,2005,594,"2010.12.19"
"Weston Area Health NHS Trust",92.1,920,218,"2010.12.19"
"Yeovil District Hospital NHS Foundation Trust",87.5,816,270,"2010.12.19"
"City Hospitals Sunderland NHS Foundation Trust",88.1,1180,481,"2010.12.12"
"County Durham And Darlington NHS Foundation Trust",93.8,2145,691,"2010.12.12"
"Gateshead Health NHS Foundation Trust",98.8,1111,288,"2010.12.12"
"North Tees And Hartlepool NHS Foundation Trust",98,1767,393,"2010.12.12"
"Northumbria Healthcare NHS Foundation Trust",96.1,2437,965,"2010.12.12"
"South Tees Hospitals NHS Foundation Trust",97.7,2306,540,"2010.12.12"
"South Tyneside NHS Foundation Trust",96.2,1008,281,"2010.12.12"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",92.1,1904,416,"2010.12.12"
"Aintree University Hospitals NHS Foundation Trust",100,1693,526,"2010.12.12"
"Alder Hey Children’S NHS Foundation Trust",89.9,1343,515,"2010.12.12"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",95.9,1548,499,"2010.12.12"
"Central Manchester University Hospitals NHS Foundation Trust",92,3733,691,"2010.12.12"
"Countess Of Chester Hospital NHS Foundation Trust",94.2,1247,349,"2010.12.12"
"East Cheshire NHS Trust",97.6,884,252,"2010.12.12"
"East Lancashire Hospitals NHS Trust",87.1,971,702,"2010.12.12"
"Lancashire Teaching Hospitals NHS Foundation Trust",94,2342,476,"2010.12.12"
"Mid Cheshire Hospitals NHS Foundation Trust",90.2,1242,430,"2010.12.12"
"North Cumbria Acute Hospitals NHS Trust",96.5,1317,383,"2010.12.12"
"Pennine Acute Hospitals NHS Trust",90,6354,1501,"2010.12.12"
"Royal Bolton Hospital NHS Foundation Trust",90.6,2173,465,"2010.12.12"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",92.1,1788,633,"2010.12.12"
"Salford Royal NHS Foundation Trust",92.5,1763,563,"2010.12.12"
"Southport And Ormskirk Hospital NHS Trust",92.2,943,291,"2010.12.12"
"St Helens And Knowsley Hospitals NHS Trust",89.3,1883,658,"2010.12.12"
"Stockport NHS Foundation Trust",97.8,1681,484,"2010.12.12"
"Tameside Hospital NHS Foundation Trust",95.8,1453,370,"2010.12.12"
"Trafford Healthcare NHS Trust",91.4,775,157,"2010.12.12"
"University Hospital Of South Manchester NHS Foundation Trust",91.8,1690,626,"2010.12.12"
"University Hospitals Of Morecambe Bay NHS Trust",94.9,1707,551,"2010.12.12"
"Warrington And Halton Hospitals NHS Foundation Trust",93.6,1753,516,"2010.12.12"
"Wirral University Teaching Hospital NHS Foundation Trust",92,1855,547,"2010.12.12"
"Wrightington, Wigan And Leigh NHS Foundation Trust",96.9,1896,546,"2010.12.12"
"Airedale NHS Trust",97.9,1058,263,"2010.12.12"
"Barnsley Hospital NHS Foundation Trust",94.3,1402,307,"2010.12.12"
"Bradford Teaching Hospitals NHS Foundation Trust",89.5,2545,667,"2010.12.12"
"Calderdale And Huddersfield NHS Foundation Trust",92.1,2521,560,"2010.12.12"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",93.8,2724,551,"2010.12.12"
"Harrogate And District NHS Foundation Trust",98.5,811,179,"2010.12.12"
"Hull And East Yorkshire Hospitals NHS Trust",92.8,2153,632,"2010.12.12"
"Leeds Teaching Hospitals NHS Trust",85.6,4099,1539,"2010.12.12"
"Mid Yorkshire Hospitals NHS Trust",84,3988,923,"2010.12.12"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",87.9,2233,496,"2010.12.12"
"Scarborough And North East Yorkshire Healthcare NHS Trust",95.6,743,186,"2010.12.12"
"Sheffield Children'S NHS Foundation Trust",99.1,931,108,"2010.12.12"
"Sheffield Teaching Hospitals NHS Foundation Trust",89.3,2212,573,"2010.12.12"
"The Rotherham NHS Foundation Trust",97.3,1487,360,"2010.12.12"
"York Hospitals NHS Foundation Trust",95.3,1520,370,"2010.12.12"
"Chesterfield Royal Hospital NHS Foundation Trust",99.3,1229,338,"2010.12.12"
"Derby Hospitals NHS Foundation Trust",86.6,2345,681,"2010.12.12"
"Kettering General Hospital NHS Foundation Trust",94.6,1232,378,"2010.12.12"
"Northampton General Hospital NHS Trust",85.6,1334,368,"2010.12.12"
"Nottingham University Hospitals NHS Trust",91.3,3142,861,"2010.12.12"
"Sherwood Forest Hospitals NHS Foundation Trust",94.1,1597,453,"2010.12.12"
"United Lincolnshire Hospitals NHS Trust",90.7,3226,791,"2010.12.12"
"University Hospitals Of Leicester NHS Trust",88.1,2906,1800,"2010.12.12"
"Birmingham Children'S Hospital NHS Foundation Trust",94.2,1172,291,"2010.12.12"
"Burton Hospitals NHS Foundation Trust",98,1322,400,"2010.12.12"
"George Eliot Hospital NHS Trust",83,1172,248,"2010.12.12"
"Heart Of England NHS Foundation Trust",85.6,4634,1476,"2010.12.12"
"Hereford Hospitals NHS Trust",93.9,928,226,"2010.12.12"
"Mid Staffordshire NHS Foundation Trust",82,1142,303,"2010.12.12"
"Sandwell And West Birmingham Hospitals NHS Trust",90.6,3708,841,"2010.12.12"
"Shrewsbury And Telford Hospital NHS Trust",90,1842,447,"2010.12.12"
"South Warwickshire NHS Foundation Trust",95.2,976,281,"2010.12.12"
"The Dudley Group Of Hospitals NHS Foundation Trust",90.4,1954,509,"2010.12.12"
"The Royal Wolverhampton Hospitals NHS Trust",95.8,1917,351,"2010.12.12"
"University Hospital Birmingham NHS Foundation Trust",91.2,1649,496,"2010.12.12"
"University Hospital Of North Staffordshire NHS Trust",92.3,2066,622,"2010.12.12"
"University Hospitals Coventry And Warwickshire NHS Trust",92.4,2913,807,"2010.12.12"
"Walsall Hospitals NHS Trust",91.7,1548,294,"2010.12.12"
"Worcestershire Acute Hospitals NHS Trust",87.7,2368,624,"2010.12.12"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",89.1,1695,309,"2010.12.12"
"Bedford Hospital NHS Trust",97.8,1206,293,"2010.12.12"
"Cambridge University Hospitals NHS Foundation Trust",94.1,1805,647,"2010.12.12"
"Colchester Hospital University NHS Foundation Trust",98.2,1303,341,"2010.12.12"
"East And North Hertfordshire NHS Trust",95.3,2447,577,"2010.12.12"
"Hinchingbrooke Healthcare NHS Trust",99.4,618,116,"2010.12.12"
"Ipswich Hospital NHS Trust",92.7,1112,335,"2010.12.12"
"James Paget University Hospitals NHS Foundation Trust",93.7,1187,256,"2010.12.12"
"Luton And Dunstable Hospital NHS Foundation Trust",96.8,1197,444,"2010.12.12"
"Mid Essex Hospital Services NHS Trust",91.6,1233,392,"2010.12.12"
"Norfolk And Norwich University Hospitals NHS Foundation Trust",97.8,1645,463,"2010.12.12"
"Peterborough And Stamford Hospitals NHS Foundation Trust",69.2,1363,438,"2010.12.12"
"Southend University Hospital NHS Foundation Trust",95,1726,408,"2010.12.12"
"The Princess Alexandra Hospital NHS Trust",89.1,1657,101,"2010.12.12"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",91.5,1071,317,"2010.12.12"
"West Hertfordshire Hospitals NHS Trust",85.6,1611,342,"2010.12.12"
"West Suffolk Hospitals NHS Trust",97.4,895,283,"2010.12.12"
"Barking, Havering And Redbridge Hospitals NHS Trust",75.2,3374,944,"2010.12.12"
"Barnet And Chase Farm Hospitals NHS Trust",95,3080,676,"2010.12.12"
"Barts And The London NHS Trust",94.6,2603,463,"2010.12.12"
"Chelsea And Westminster Hospital NHS Foundation Trust",96.5,2558,325,"2010.12.12"
"Croydon Health Services NHS Trust",97.4,2262,492,"2010.12.12"
"Ealing Hospital NHS Trust",89.6,1627,393,"2010.12.12"
"Epsom And St Helier University Hospitals NHS Trust",92.5,2545,669,"2010.12.12"
"Guy'S And St Thomas' NHS Foundation Trust",94.9,2724,634,"2010.12.12"
"Homerton University Hospital NHS Foundation Trust",95.2,1555,329,"2010.12.12"
"Imperial College Healthcare NHS Trust",92,2689,987,"2010.12.12"
"King'S College Hospital NHS Foundation Trust",93.6,2574,526,"2010.12.12"
"Kingston Hospital NHS Trust",97.8,2106,311,"2010.12.12"
"Lewisham Healthcare NHS Trust",98.7,2198,371,"2010.12.12"
"Newham University Hospital NHS Trust",92.4,1443,416,"2010.12.12"
"North Middlesex University Hospital NHS Trust",92.9,2572,267,"2010.12.12"
"North West London Hospitals NHS Trust",82.9,3580,670,"2010.12.12"
"Royal Free Hampstead NHS Trust",95.4,1772,372,"2010.12.12"
"South London Healthcare NHS Trust",78,3259,762,"2010.12.12"
"St George'S Healthcare NHS Trust",91.9,2425,729,"2010.12.12"
"The Hillingdon Hospital NHS Trust",93.2,1673,477,"2010.12.12"
"The Whittington Hospital NHS Trust",97.4,1944,365,"2010.12.12"
"University College London Hospitals NHS Foundation Trust",97.7,2244,290,"2010.12.12"
"West Middlesex University Hospital NHS Trust",97.4,2306,358,"2010.12.12"
"Whipps Cross University Hospital NHS Trust",89.7,2076,613,"2010.12.12"
"Ashford And St Peter'S Hospitals NHS Trust",91.6,1861,499,"2010.12.12"
"Brighton And Sussex University Hospitals NHS Trust",92.5,2499,649,"2010.12.12"
"Dartford And Gravesham NHS Trust",87.3,1786,398,"2010.12.12"
"East Kent Hospitals University NHS Foundation Trust",93.7,2525,713,"2010.12.12"
"East Sussex Hospitals NHS Trust",96.2,1746,452,"2010.12.12"
"Frimley Park Hospital NHS Foundation Trust",94.1,1775,491,"2010.12.12"
"Maidstone And Tunbridge Wells NHS Trust",93.4,2197,733,"2010.12.12"
"Medway NHS Foundation Trust",91.1,1672,317,"2010.12.12"
"Royal Surrey County Hospital NHS Foundation Trust",86.1,1152,272,"2010.12.12"
"Surrey And Sussex Healthcare NHS Trust",81.4,1042,440,"2010.12.12"
"Western Sussex Hospitals NHS Trust",95.3,2282,701,"2010.12.12"
"Basingstoke And North Hampshire NHS Foundation Trust",97.8,761,183,"2010.12.12"
"Buckinghamshire Hospitals NHS Trust",94.6,2026,403,"2010.12.12"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",86.7,1802,478,"2010.12.12"
"Isle Of Wight NHS Primary Care Trust",93.7,685,150,"2010.12.12"
"Milton Keynes Hospital NHS Foundation Trust",86.1,1334,280,"2010.12.12"
"Oxford Radcliffe Hospitals NHS Trust",91.9,2037,330,"2010.12.12"
"Portsmouth Hospitals NHS Trust",86.1,1687,585,"2010.12.12"
"Royal Berkshire NHS Foundation Trust",89.8,1568,374,"2010.12.12"
"Southampton University Hospitals NHS Trust",92.9,1800,400,"2010.12.12"
"Winchester And Eastleigh Healthcare NHS Trust",89.8,846,197,"2010.12.12"
"Dorset County Hospital NHS Foundation Trust",95.9,639,196,"2010.12.12"
"Gloucestershire Hospitals NHS Foundation Trust",89.9,2142,689,"2010.12.12"
"Great Western Hospitals NHS Foundation Trust",96.6,1295,323,"2010.12.12"
"North Bristol NHS Trust",92.6,1249,255,"2010.12.12"
"Northern Devon Healthcare NHS Trust",95.7,651,231,"2010.12.12"
"Plymouth Hospitals NHS Trust",93,1635,452,"2010.12.12"
"Poole Hospital NHS Foundation Trust",95,1089,357,"2010.12.12"
"Royal Cornwall Hospitals NHS Trust",92,1280,374,"2010.12.12"
"Royal Devon And Exeter NHS Foundation Trust",93.5,1743,477,"2010.12.12"
"Royal United Hospital Bath NHS Trust",98.8,1214,490,"2010.12.12"
"Salisbury NHS Foundation Trust",96,771,237,"2010.12.12"
"South Devon Healthcare NHS Foundation Trust",98.9,1265,465,"2010.12.12"
"Taunton And Somerset NHS Foundation Trust",96.7,952,230,"2010.12.12"
"The Royal Bournemouth & Christchurch Hospitals NHS Foundation Trust",99.6,822,370,"2010.12.12"
"University Hospitals Of Bristol NHS Foundation Trust",91.4,1980,558,"2010.12.12"
"Weston Area Health NHS Trust",87.9,858,194,"2010.12.12"
"Yeovil District Hospital NHS Foundation Trust",96.2,799,271,"2010.12.12"
"City Hospitals Sunderland NHS Foundation Trust",91.1,1006,483,"2010.12.05"
"County Durham And Darlington NHS Foundation Trust",98.4,1898,593,"2010.12.05"
"Gateshead Health NHS Foundation Trust",98,1012,273,"2010.12.05"
"North Tees And Hartlepool NHS Foundation Trust",97,1578,371,"2010.12.05"
"Northumbria Healthcare NHS Foundation Trust",98.4,2096,873,"2010.12.05"
"South Tees Hospitals NHS Foundation Trust",98.2,1965,498,"2010.12.05"
"South Tyneside NHS Foundation Trust",99,907,264,"2010.12.05"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",94.1,1659,341,"2010.12.05"
"Alder Hey Children’S NHS Foundation Trust",97.5,1097,480,"2010.12.05"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",95.2,1668,574,"2010.12.05"
"Central Manchester University Hospitals NHS Foundation Trust",97.1,3433,628,"2010.12.05"
"Countess Of Chester Hospital NHS Foundation Trust",95.3,1201,319,"2010.12.05"
"East Cheshire NHS Trust",98.2,778,236,"2010.12.05"
"East Lancashire Hospitals NHS Trust",96.6,933,570,"2010.12.05"
"Lancashire Teaching Hospitals NHS Foundation Trust",96.5,2242,447,"2010.12.05"
"Mid Cheshire Hospitals NHS Foundation Trust",97.9,1024,392,"2010.12.05"
"North Cumbria Acute Hospitals NHS Trust",97.7,1145,295,"2010.12.05"
"Pennine Acute Hospitals NHS Trust",93.6,5354,1384,"2010.12.05"
"Royal Bolton Hospital NHS Foundation Trust",90.8,2012,429,"2010.12.05"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",92.8,1734,568,"2010.12.05"
"Salford Royal NHS Foundation Trust",96.4,1586,518,"2010.12.05"
"Southport And Ormskirk Hospital NHS Trust",97.5,869,236,"2010.12.05"
"St Helens And Knowsley Hospitals NHS Trust",92.2,1654,648,"2010.12.05"
"Stockport NHS Foundation Trust",91.5,1582,529,"2010.12.05"
"Tameside Hospital NHS Foundation Trust",98.7,1263,308,"2010.12.05"
"Trafford Healthcare NHS Trust",95.3,718,152,"2010.12.05"
"University Hospital Of South Manchester NHS Foundation Trust",92.5,1502,527,"2010.12.05"
"University Hospitals Of Morecambe Bay NHS Trust",94.6,1595,431,"2010.12.05"
"Warrington And Halton Hospitals NHS Foundation Trust",93.4,1539,500,"2010.12.05"
"Wirral University Teaching Hospital NHS Foundation Trust",94,1678,538,"2010.12.05"
"Wrightington, Wigan And Leigh NHS Foundation Trust",98,1787,485,"2010.12.05"
"Airedale NHS Trust",98,882,215,"2010.12.05"
"Barnsley Hospital NHS Foundation Trust",93.5,1255,306,"2010.12.05"
"Bradford Teaching Hospitals NHS Foundation Trust",95.6,2231,612,"2010.12.05"
"Calderdale And Huddersfield NHS Foundation Trust",92.6,2295,594,"2010.12.05"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",96.3,2205,518,"2010.12.05"
"Harrogate And District NHS Foundation Trust",98.4,688,190,"2010.12.05"
"Hull And East Yorkshire Hospitals NHS Trust",96,1796,632,"2010.12.05"
"Leeds Teaching Hospitals NHS Trust",94.5,3596,1324,"2010.12.05"
"Mid Yorkshire Hospitals NHS Trust",89.9,3291,877,"2010.12.05"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",97.1,1693,452,"2010.12.05"
"Scarborough And North East Yorkshire Healthcare NHS Trust",98.6,582,171,"2010.12.05"
"Sheffield Children'S NHS Foundation Trust",97.2,721,108,"2010.12.05"
"Sheffield Teaching Hospitals NHS Foundation Trust",92.8,1753,428,"2010.12.05"
"The Rotherham NHS Foundation Trust",98.3,1209,313,"2010.12.05"
"York Hospitals NHS Foundation Trust",98.9,1225,287,"2010.12.05"
"Chesterfield Royal Hospital NHS Foundation Trust",97.8,926,326,"2010.12.05"
"Derby Hospitals NHS Foundation Trust",93.6,2109,620,"2010.12.05"
"Kettering General Hospital NHS Foundation Trust",88.7,1259,365,"2010.12.05"
"Northampton General Hospital NHS Trust",88.1,1288,355,"2010.12.05"
"Nottingham University Hospitals NHS Trust",92.7,3054,784,"2010.12.05"
"Sherwood Forest Hospitals NHS Foundation Trust",96.4,1248,391,"2010.12.05"
"United Lincolnshire Hospitals NHS Trust",95.6,2569,748,"2010.12.05"
"University Hospitals Of Leicester NHS Trust",89,2966,1704,"2010.12.05"
"Birmingham Children'S Hospital NHS Foundation Trust",91.9,1052,294,"2010.12.05"
"Burton Hospitals NHS Foundation Trust",98.9,1134,388,"2010.12.05"
"George Eliot Hospital NHS Trust",91.1,1174,274,"2010.12.05"
"Heart Of England NHS Foundation Trust",89.1,4215,1386,"2010.12.05"
"Hereford Hospitals NHS Trust",95.8,828,226,"2010.12.05"
"Mid Staffordshire NHS Foundation Trust",83.8,1007,260,"2010.12.05"
"Sandwell And West Birmingham Hospitals NHS Trust",94.3,3354,813,"2010.12.05"
"Shrewsbury And Telford Hospital NHS Trust",92.9,1642,382,"2010.12.05"
"South WarWiCkshire NHS Foundation Trust",96.9,928,260,"2010.12.05"
"The Dudley Group Of Hospitals NHS Foundation Trust",97.6,1781,516,"2010.12.05"
"The Royal Wolverhampton Hospitals NHS Trust",98,1770,367,"2010.12.05"
"University Hospital Birmingham NHS Foundation Trust",95.7,1553,493,"2010.12.05"
"University Hospital Of North Staffordshire NHS Trust",91.7,1942,634,"2010.12.05"
"University Hospitals Coventry And WarWiCkshire NHS Trust",96.8,2846,878,"2010.12.05"
"Walsall Hospitals NHS Trust",96.3,1426,292,"2010.12.05"
"Worcestershire Acute Hospitals NHS Trust",93.5,2093,597,"2010.12.05"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",97.5,1426,316,"2010.12.05"
"Bedford Hospital NHS Trust",97.4,1248,320,"2010.12.05"
"Cambridge University Hospitals NHS Foundation Trust",96.9,1815,596,"2010.12.05"
"Colchester Hospital University NHS Foundation Trust",94.7,1142,364,"2010.12.05"
"East And North Hertfordshire NHS Trust",97.5,2306,548,"2010.12.05"
"Hinchingbrooke Healthcare NHS Trust",97.6,677,153,"2010.12.05"
"IpsWiCh Hospital NHS Trust",97.4,1059,330,"2010.12.05"
"James Paget University Hospitals NHS Foundation Trust",98.3,1003,208,"2010.12.05"
"Luton And Dunstable Hospital NHS Foundation Trust",99.4,1087,347,"2010.12.05"
"Mid Essex Hospital Services NHS Trust",95.1,1023,335,"2010.12.05"
"Norfolk And NorWiCh University Hospitals NHS Foundation Trust",97.8,1526,515,"2010.12.05"
"Peterborough And Stamford Hospitals NHS Foundation Trust",78.3,1173,327,"2010.12.05"
"Southend University Hospital NHS Foundation Trust",97.2,1378,382,"2010.12.05"
"The Princess Alexandra Hospital NHS Trust",96.9,1530,422,"2010.12.05"
